Agency,Fund,From_Line,To_Line,Date_Requested,Amount,Total_Transferred_YTD,Limit_2pct,Limit_4pct
IL Education Labor Relations Board,Personal Property Tax Replacement Fund,Personal Services,Contractual Services,2025-03-20,150000.0,150000,83710,167420
Department of Natural Resources,Wildlife & Fish,Reallocation Wildlife & Fish Grant,Personal Services,2025-03-14,2600000.0,5650000,4883460,9766920
Department of Natural Resources,Wildlife & Fish,Reallocation Wildlife & Fish Grant,Retirement,2025-03-14,1400000.0,5650000,4883460,9766920
Department of Natural Resources,Wildlife & Fish,Reallocation Wildlife & Fish Grant,Social Security,2025-03-14,150000.0,5650000,4883460,9766920
Department of Natural Resources,Wildlife & Fish,Reallocation Wildlife & Fish Grant,Group Insurance,2025-03-14,1500000.0,5650000,4883460,9766920
Department of Natural Resources,General Revenue Fund,Lump Sum - General Office,Lump Sum - State Museum & Grant Mgmt,2025-05-21,2000000.0,3500000,1789408,3578766
Department of Natural Resources,General Revenue Fund,Lump Sum - General Office,Lump Sum - State Museum & Office Capital Planning,2025-05-21,1300000.0,3500000,1789408,3578766
Department of Natural Resources,Flagging & Restoration,Regular Positions,Social Security,2024-10-29,375000.0,156128,1531928,3063856
Department of Corrections,General Revenue Fund,Personal Services,Various,,40514800.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Social Security,Social Security,,1330500.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Contractual Services,Travel,,237200.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Contractual Services,Equipment,,228900.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Contractual Services,Auto,,186500.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Contractual Services,Commodities,,14975100.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Contractual Services,Telecom,,105000.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Contractual Services,Student/Resident Compensation,,126000.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Contractual Services,Contractual Services,,1539400.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Commodities - Graham,Commodities - Menard,,184000.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Personal Services - Statesville,Auto - Logan,,125000.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Personal Services - Statesville,Student/Resident Compensation - Robinson,,11000.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Contractual Services,Printing,,52300.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Lump Sum,SMIC,,20000.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Lump Sum,Statewide Hospitalization,,1000.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Operation of Auto - Logan,Commodities - Logan,,200000.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Commodities - Field Services,Equipment - Field Services,,100000.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Commodities - Ed Services,Travel - Ed services,,1500.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Equipment - Pinckneyville,Printing - Pinckneyville,,11000.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Travel,Various,,7900.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Auto,Travel,,23000.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Auto,Printing,,200.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Contractual,General Office - Statewide Hospitalization,,2000000.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Lump Sum,Travel + Allowance,,1500.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Printing,Equipment,,17600.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Telecommunications,Various,,1777500.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Auto,Commodities,,305000.0,64423800,38441600,76883200
Department of Corrections,General Revenue Fund,Auto,Contractual Services,,22000.0,64423800,38441600,76883200
Office of the State Fire Marshal,Underground Storage Tank,Contractual Services,Contractual Services,,12000.0,10790.0,21480.0,
Office of the State Fire Marshal,Underground Storage Tank,Contractual Services,Equipment,2025-10-30,35000.0,10790.0,21480.0,
Veteran's Affairs,General Revenue Fund,Personal Services,Lump Sum,,6361084.0,6361084.0,3279290.0,6558580.0
Veteran's Affairs,General Revenue Fund,Contractual Services,General Office,,35000.0,,,
Veteran's Affairs,General Revenue Fund,Equipment,Community Services Division,,167000.0,,,
Veteran's Affairs,General Revenue Fund,Lump Sum,Various,,621350.0,,,
Veteran's Affairs,General Revenue Fund,Personal Service,Various,,3780000.0,,,
Veteran's Affairs,General Revenue Fund,Contractual Services,Various,,7500.0,,,
Department of Juvenile Justice,General Revenue Fund,Lump Sum,Contractual Services,,4150180.0,2746100.0,5492200.0,
Department of Juvenile Justice,General Revenue Fund,Personal Services,Contractual Services,,370000.0,,,
Prisoner Review Board,General Revenue Fund,Personal Service & Social Security,General Office,2025-05-07,168500.0,168500.0,103458.0,206916.0
Illinois State Police,State Police Services Fund,Riverboat Gambling,Lump Sums,2025-05-09,1500000.0,1500000.0,884000.0,1768000.0
Secretary of State,Securities Audit & Enforcement,General Administrative Group,Social Security; Printing; Personal Services,2025-06-12,301000.0,301000.0,216328.0,432656.0
Military Affairs,Federal Support Agreement Revolving Fund,Army/Air Reimbursable Positions,Army/Air Reimbursable Positions,2025-06-13,1616428.0,1616428.0,808214.0,1616428.0
