
fund,fund_name,total_receipts,bond_receipts,bond_share
1.0,GENERAL REVENUE,45141100622.17,0.0,0.0
5.0,GR - CS SPECIAL ACCT,2753201461.09,0.0,0.0
7.0,EDUCATION ASSISTANCE,2761672809.83,0.0,0.0
11.0,ROAD,5624730777.68,0.0,0.0
12.0,MOTOR FUEL TAX,1243055612.5600002,0.0,0.0
13.0,PREVENT & TREAT ALCOHOL & SUB,103318751.53999999,0.0,0.0
14.0,FOOD & DRUG SAFETY,68122.65,0.0,0.0
16.0,TEACHER CERTIFICATE FEE REVOLV,4833182.88,0.0,0.0
18.0,TRANSPORTATION REGULATORY,14791734.01,0.0,0.0
19.0,GRADE CROSSING PROTECTION,42000018.0,0.0,0.0
20.0,ALZHEIMER'S AWARENESS,1149632.57,0.0,0.0
21.0,FINANCIAL INSTITUTION,10818168.53,0.0,0.0
22.0,GENERAL PROFESSIONS DEDICATED,15653565.600000001,0.0,0.0
24.0,IL DEPT OF AG LAB SERV REVOLV,14656.13,0.0,0.0
25.0,GROUP HOME LOAN REVOLVING,67388.55,0.0,0.0
28.0,ILLINOIS NURSES FOUNDATION,38020.0,0.0,0.0
30.0,SUPREME COURT SPECIAL PURPOSES,5718282.08,0.0,0.0
31.0,DRIVERS EDUCATION,14327155.78,0.0,0.0
32.0,IL SHERIFFS' SCHOLSHIP & TRN,6476.0,0.0,0.0
34.0,IL STATE POLICE MEMORIAL PARK,455169.83,0.0,0.0
35.0,ACCESS TO JUSTICE,1103667.42,0.0,0.0
36.0,IL VETERANS' REHABILITATION,4763000.0,0.0,0.0
39.0,STATE BOATING ACT,10253404.69,0.0,0.0
40.0,STATE PARKS,10672686.72,0.0,0.0
41.0,WILDLIFE & FISH,90475117.57000001,0.0,0.0
42.0,SALMON,326876.19,0.0,0.0
43.0,MILITARY AFFAIRS TRUST,120291.34,0.0,0.0
44.0,LOBBYIST REGISTRATION ADMIN,1761590.0,0.0,0.0
45.0,AGRICULTURAL PREMIUM,23765393.060000002,0.0,0.0
46.0,AERONAUTICS,31548.0,0.0,0.0
47.0,FIRE PREVENTION,60035094.67999999,0.0,0.0
48.0,RURAL/DOWNSTATE HEALTH ACCESS,99000.0,0.0,0.0
50.0,MENTAL HEALTH,19267684.92,0.0,0.0
51.0,AMUSEMENT RIDE & PATRON SAFETY,520125.77,0.0,0.0
52.0,FEDERAL TITLE III SS & EMPLOY,377982914.41,0.0,0.0
54.0,STATE PENSIONS,239123717.14,0.0,0.0
55.0,FEDERAL UNEMPLOYMENT COMP,17765193.080000002,0.0,0.0
57.0,IL STATE PHARMACY DISCIPLINARY,2658228.78,0.0,0.0
59.0,PUBLIC UTILITY,36586826.650000006,0.0,0.0
60.0,ALZHEIMERS RESRCH CARE SUPPORT,187714.97,0.0,0.0
63.0,PUBLIC HEALTH SERVICES,354772298.64,0.0,0.0
64.0,FUTURE FARMERS OF AMERICA,780.0,0.0,0.0
65.0,U S ENVIRONMENTAL PROTECTION,42368925.8,0.0,0.0
67.0,RADIATION PROTECTION,8643009.629999999,0.0,0.0
68.0,HOSPITAL LICENSURE,1976582.74,0.0,0.0
69.0,NATURAL HERITAGE ENDOW TR,23190.8,0.0,0.0
70.0,ICCB RESEARCH AND TECHNOLOGY,10770.0,0.0,0.0
72.0,UNDERGROUND STORAGE TANK,71183083.61,0.0,0.0
73.0,SPEC. OLYMPICS/CHLD. CHARITIES,1182938.07,0.0,0.0
74.0,EPA SPEC STATE PROJ TRUST,898690.76,0.0,0.0
75.0,COMPASSION USE MED CANNABIS,25855720.47,0.0,0.0
76.0,IL NATIONAL GUARD BILLETING,363595.21,0.0,0.0
77.0,MINES & MINERALS UIC,269000.0,0.0,0.0
78.0,SOLID WASTE MANAGEMENT,27415737.2,0.0,0.0
80.0,BUDGET RESERVE GOV EMERGENCIES,98667000.0,0.0,0.0
81.0,VOCATIONAL REHABILITATION,164296896.89,0.0,0.0
82.0,DISTANCE LEARNING,137750.0,0.0,0.0
