
fund,fund_name,total_direct_spent,bond_direct_spent,from_fund_num,transfers_out,is_terminal,bond_transfer_in,bond_total_used
13,PREVENT & TREAT ALCOHOL & SUB,95506792.59,0.0,,0.0,True,0.0,0.0
14,FOOD & DRUG SAFETY,33180.17,0.0,,0.0,True,0.0,0.0
20,ALZHEIMER'S AWARENESS,1054722.45,0.0,20.0,0.0,True,0.0,0.0
24,IL DEPT OF AG LAB SERV REVOLV,42.0,0.0,,0.0,True,0.0,0.0
25,GROUP HOME LOAN REVOLVING,112000.0,0.0,,0.0,True,0.0,0.0
28,ILLINOIS NURSES FOUNDATION,40000.0,0.0,,0.0,True,0.0,0.0
32,IL SHERIFFS' SCHOLSHIP & TRN,6000.0,0.0,,0.0,True,0.0,0.0
34,IL STATE POLICE MEMORIAL PARK,454295.83,0.0,34.0,0.0,True,0.0,0.0
35,ACCESS TO JUSTICE,1128500.0,0.0,,0.0,True,0.0,0.0
46,AERONAUTICS,754.47,0.0,,0.0,True,0.0,0.0
55,FEDERAL UNEMPLOYMENT COMP,618434.6,0.0,,0.0,True,0.0,0.0
60,ALZHEIMERS RESRCH CARE SUPPORT,225446.19,0.0,60.0,0.0,True,0.0,0.0
63,PUBLIC HEALTH SERVICES,242629749.23000002,0.0,,0.0,True,0.0,0.0
65,U S ENVIRONMENTAL PROTECTION,34100173.06,0.0,,0.0,True,0.0,0.0
68,HOSPITAL LICENSURE,738101.82,0.0,68.0,0.0,True,0.0,0.0
70,ICCB RESEARCH AND TECHNOLOGY,1960.0,0.0,,0.0,True,0.0,0.0
73,SPEC. OLYMPICS/CHLD. CHARITIES,768278.57,0.0,73.0,0.0,True,0.0,0.0
75,COMPASSION USE MED CANNABIS,11434857.14,0.0,,0.0,True,0.0,0.0
76,IL NATIONAL GUARD BILLETING,403225.28,0.0,76.0,0.0,True,0.0,0.0
77,MINES & MINERALS UIC,182395.22,0.0,,0.0,True,0.0,0.0
81,VOCATIONAL REHABILITATION,162083183.26,0.0,,0.0,True,0.0,0.0
82,DISTANCE LEARNING,3000.0,0.0,,0.0,True,0.0,0.0
86,FOREST RESERVE,238013.26,0.0,,0.0,True,0.0,0.0
88,NON-HOME RULE MUNICIPAL ROT,244225494.47,0.0,,0.0,True,0.0,0.0
95,FEDERAL/STATE/LOCAL AIRPORT,82400306.84,0.0,,0.0,True,0.0,0.0
96,CEMETERY CONSUMER PROTECTION,53364.63,0.0,,0.0,True,0.0,0.0
97,HOME RULE MUNI SOFT DRINK ROT,15553624.3,0.0,,0.0,True,0.0,0.0
99,HATE CRIMES & BIAS INCIDENT,1539866.0,0.0,,0.0,True,0.0,0.0
101,GENERAL OBLIGATION BR&I,4827967901.27,1217705448.8084416,,0.0,True,0.0,1217705448.8084416
102,IL VETERANS' HOMES,703572.32,0.0,,0.0,True,0.0,0.0
103,ST. TREASURER'S ADMINISTRATIVE,15518156.47,0.0,103.0,0.0,True,0.0,0.0
115,SAFE BOTTLED WATER,27570.29,0.0,,0.0,True,0.0,0.0
120,HOME SERVICES MEDICAID TRUST,199342519.31,0.0,,0.0,True,0.0,0.0
121,ESTATE TAX REFUND,30610505.57,0.0,121.0,0.0,True,0.0,0.0
125,MUNI WIRELESS SERV EMERGENCY,1463185.79,0.0,,0.0,True,0.0,0.0
127,IL UNDERGROUND UTL FAC DAMAGE,5538788.0,0.0,127.0,0.0,True,0.0,0.0
131,COUNCIL ON DEV DISABILITIES,2636532.5,0.0,,0.0,True,0.0,0.0
138,HOME RULE MUNICIPAL ROT,1627577269.96,0.0,,0.0,True,0.0,0.0
139,HOME RULE COUNTY ROT,1222498237.7,0.0,,0.0,True,0.0,0.0
141,CAPITAL DEVELOPMENT,818684829.95,818236646.360312,,0.0,True,0.0,818236646.360312
142,COMMUNITY DD SRVCS MEDICAID TR,79625341.97,0.0,,0.0,True,0.0,0.0
143,SCHOOL CONSTRUCTION,15596000.0,0.0,,0.0,True,0.0,0.0
144,SBE SPECIAL PURPOSE TRUST,6971336.02,0.0,,0.0,True,0.0,0.0
147,COAL MINING REGULATORY,95774.32,0.0,147.0,0.0,True,0.0,0.0
155,GEN ASSEMBLY COMPUTER EQUIP,2310.0,0.0,,0.0,True,0.0,0.0
160,BUSINESS DIST RTLRS' OCCUP TAX,75602039.59,0.0,,0.0,True,0.0,0.0
161,HI SCHOOL EQUIVALENCY TESTING,33403.94,0.0,,0.0,True,0.0,0.0
162,ILL HIGHER ED SAVINGS PROGRAM,2500000.0,0.0,,0.0,True,0.0,0.0
165,RONALD MCDONALD HOUSE CHARITY,275000.0,0.0,,0.0,True,0.0,0.0
166,ST POLICE MERIT BD PUB SAFETY,2916895.25,0.0,,0.0,True,0.0,0.0
169,IL INDEPENDENT TAX TRIBUNAL,34355.16,0.0,,0.0,True,0.0,0.0
173,EMERGENCY PLANNING & TRAINING,11533.95,0.0,,0.0,True,0.0,0.0
176,SECRETARY OF STATE FED PROJ,578447.63,0.0,,0.0,True,0.0,0.0
179,INJURED WORKERS' BENEFIT,1414220.02,0.0,,0.0,True,0.0,0.0
182,DRIVER SERVICES ADMINISTRATION,1279743.0,0.0,182.0,0.0,True,0.0,0.0
189,LOCAL GOVERNMENT TAX,2733352316.19,0.0,,0.0,True,0.0,0.0
190,COUNTY OPTION MOTOR FUEL TAX,89508107.74,0.0,,0.0,True,0.0,0.0
191,INDOOR RADON MITIGATION,591754.64,0.0,,0.0,True,0.0,0.0
198,DIABETES RESEARCH CHECKOFF,93755.0,0.0,,0.0,True,0.0,0.0
200,DIRECT DEPOSIT ADMINISTRATION,9996341.46,0.0,,0.0,True,0.0,0.0
204,SOCIAL SECURITY ADMINISTRATION,585005.39,0.0,,0.0,True,0.0,0.0
206,HELP ILLINOIS VOTE,2422060.0700000003,0.0,,0.0,True,0.0,0.0
208,CAROLYN ADMS TCKT FOR CURE GRT,1582788.32,0.0,208.0,0.0,True,0.0,0.0
210,ELECTRONIC NOTARIZATION,236627.27,0.0,,0.0,True,0.0,0.0
211,HFS TECHNOLOGY INITIATIVE,6790775.91,0.0,211.0,0.0,True,0.0,0.0
212,FEDERAL FINANCING COST REIMB,17015582.0,0.0,,0.0,True,0.0,0.0
