
fy,from_fund_num,from_fund_name,to_fund_num,to_fund_name,transfer_id,amount
2024,1,GENERAL REVENUE,568.0,School Infrastructure Fund,360COMTAX,67161870.82
2024,1,GENERAL REVENUE,608.0,Conservation 2000 Fund,360CO2000,18000000.0
2024,1,GENERAL REVENUE,162.0,Illinois Higher Education Savings Program Fund,360IHESPF,2500000.0
2024,1,GENERAL REVENUE,933.0,Convention Center Support Fund,360INTCCS,5000000.0
2024,1,GENERAL REVENUE,45.0,Agricultural Premium Fund,360PARAMU,31174668.98
2024,1,GENERAL REVENUE,245.0,Fair And Exposition Fund,360PARAMU,31174668.98
2024,1,GENERAL REVENUE,708.0,Illinois Standardbred Breeders Fund,360PARAMU,31174668.98
2024,1,GENERAL REVENUE,709.0,Illinois Thoroughbred Breeders Fund,360PARAMU,31174668.98
2024,1,GENERAL REVENUE,960.0,Build Illinois Fund,360PARAMU,31174668.98
2024,1,GENERAL REVENUE,568.0,School Infrastructure Fund,360SCHINF,60000000.0
2024,1,GENERAL REVENUE,412.0,Common School Fund,360SCHOOL,5811282646.47
2024,1,GENERAL REVENUE,136.0,U of I Hospital Services Fund,360UIHOSP,55000000.0
2024,1,GENERAL REVENUE,36.0,IL Veterans Rehabilitation fund,360VREHAB,4763000.0
2024,1,GENERAL REVENUE,373.0,State Treasur er's Bank Services Trust Fund,370BANKSV,8341666.67
2024,1,GENERAL REVENUE,101.0,General Obligation B R & I Fund,370DEBTSR,1517029778.08
2024,1,GENERAL REVENUE,128.0,Youth Alcohol /Substance Abuse Fund,409YOUTHA,0.0
2024,1,GENERAL REVENUE,15.0,Breast & Ce rvical Cancer Research Fund,492TAXCHK,1242121.53
2024,1,GENERAL REVENUE,60.0,Alzhei mer's Disease Research Fund,492TAXCHK,1242121.53
2024,1,GENERAL REVENUE,100.0,Assi stance To The Homeless Fund,492TAXCHK,1242121.53
2024,1,GENERAL REVENUE,102.0,Illi nois Veterans' Homes Fund,492TAXCHK,1242121.53
2024,1,GENERAL REVENUE,113.0,Community Health Center Care Fund,492TAXCHK,1242121.53
2024,1,GENERAL REVENUE,135.0,Heartsaver AED Fund,492TAXCHK,1242121.53
2024,1,GENERAL REVENUE,165.0,Korean War Ve terans National Museum & Library,492TAXCHK,1242121.53
2024,1,GENERAL REVENUE,197.0,Epilepsy Treatment & Education Grants-in-Aid Fund,492TAXCHK,1242121.53
2024,1,GENERAL REVENUE,198.0,Diabet es Research Checkoff Fund,492TAXCHK,1242121.53
2024,1,GENERAL REVENUE,228.0,Auti sm Research Checkoff Fund,492TAXCHK,1242121.53
2024,1,GENERAL REVENUE,250.0,Blindness Prevention Fund,492TAXCHK,1242121.53
