
fund,fund_name,transfer_out,transfer_in
1.0,GENERAL REVENUE,9065472930.349998,1447968152.75
5.0,GR - CS SPECIAL ACCT,2499429052.36,0.0
7.0,EDUCATION ASSISTANCE,9297128.0,186550391.93
11.0,ROAD,1038621015.72,343462178.48
12.0,MOTOR FUEL TAX,1094685161.11,1180178.34
16.0,TEACHER CERTIFICATE FEE REVOLV,700.0,0.0
18.0,TRANSPORTATION REGULATORY,12600.0,5502944.0
19.0,GRADE CROSSING PROTECTION,5507759.0,42000018.0
20.0,ALZHEIMER'S AWARENESS,0.0,1052031.57
21.0,FINANCIAL INSTITUTION,2291312.65,0.0
22.0,GENERAL PROFESSIONS DEDICATED,3714349.49,0.0
30.0,SUPREME COURT SPECIAL PURPOSES,0.0,0.0
31.0,DRIVERS EDUCATION,904.0,0.0
34.0,IL STATE POLICE MEMORIAL PARK,0.0,42.0
36.0,IL VETERANS' REHABILITATION,79985.0,4763000.0
39.0,STATE BOATING ACT,16900.0,5040000.0
40.0,STATE PARKS,25000.0,0.0
41.0,WILDLIFE & FISH,264900.0,0.0
42.0,SALMON,837.0,0.0
43.0,MILITARY AFFAIRS TRUST,1017.0,0.0
44.0,LOBBYIST REGISTRATION ADMIN,6500.0,90.0
45.0,AGRICULTURAL PREMIUM,72802.0,23765389.1
47.0,FIRE PREVENTION,8206770.0,91.0
48.0,RURAL/DOWNSTATE HEALTH ACCESS,100.0,0.0
50.0,MENTAL HEALTH,134560.0,0.0
51.0,AMUSEMENT RIDE & PATRON SAFETY,800.0,1338.0
52.0,FEDERAL TITLE III SS & EMPLOY,28097.0,0.0
54.0,STATE PENSIONS,500000.0,239089215.91
57.0,IL STATE PHARMACY DISCIPLINARY,1193973.27,0.0
59.0,PUBLIC UTILITY,32200.0,10007459.0
60.0,ALZHEIMERS RESRCH CARE SUPPORT,0.0,187714.97
67.0,RADIATION PROTECTION,45700.0,381.0
68.0,HOSPITAL LICENSURE,1000000.0,103.0
72.0,UNDERGROUND STORAGE TANK,74024514.0,0.0
73.0,SPEC. OLYMPICS/CHLD. CHARITIES,0.0,1167603.53
74.0,EPA SPEC STATE PROJ TRUST,1259.0,0.0
75.0,COMPASSION USE MED CANNABIS,15000000.0,0.0
76.0,IL NATIONAL GUARD BILLETING,0.0,0.0
78.0,SOLID WASTE MANAGEMENT,7060040.0,0.0
80.0,BUDGET RESERVE GOV EMERGENCIES,0.0,98667000.0
83.0,VIOLENT CRIME WITNESS PROTECTN,25000000.0,0.0
85.0,IL GAMING LAW ENFORCEMENT,3811.0,0.0
89.0,SUBTITLE D MANAGEMENT,149769.0,0.0
91.0,CLEAN AIR ACT PERMIT,371283.0,3500000.0
93.0,IL STATE MEDICAL DISCIPLINARY,3682369.48,0.0
95.0,FEDERAL/STATE/LOCAL AIRPORT,0.0,20000000.0
100.0,ASSISTANCE TO THE HOMELESS,0.0,307195.1
101.0,GENERAL OBLIGATION BR&I,0.0,3375913203.62
103.0,ST. TREASURER'S ADMINISTRATIVE,0.0,0.0
109.0,CDLIS/AAMVANET/NMVTIS TRUST,1679.0,321.0
118.0,FACILITY LICENSING,6400.0,339.0
121.0,ESTATE TAX REFUND,0.0,45.0
127.0,IL UNDERGROUND UTL FAC DAMAGE,0.0,161.0
